标题,src,icon,zh,en
"1. 旅行社业务经营许可证 · 营业执照","zh","📜","旅行社业务经营许可证 · 营业执照","Licensed travel agency · business registration on file"
"2. 全员持证向导","zh","🎓","全员持证向导","Nationally licensed guides on every departure"
"3. 每单含旅游意外险","zh","🛡️","每单含旅游意外险","Travel accident insurance on every booking"
"4. 出发前 30 天免费取消 / 改期","zh","↩️","出发前 30 天免费取消 / 改期","Free cancellation or date change up to 30 days out"
"5. 8 年运营 · 服务 500+ 位旅行者","zh","📈","8 年运营 · 服务 500+ 位旅行者","8 years operating · 500+ travellers served"
"6. 独立旅行媒体报道","zh","🎙️","独立旅行媒体报道","Covered by independent travel media"
