标题,id,src,file,downloadName,title_zh,title_en
"r1","r1","zh","guidebooks/r1/YouXian-ThreeLands-14D-Bilingual-Itinerary.pdf","YouXian-ThreeLands-14D-Bilingual-Itinerary.pdf","三境 14日 双语路书","Three Lands — 14D bilingual itinerary"
"r2","r2","zh","guidebooks/r2/YouXian-GuangxiVietnam-11D-Bilingual-Itinerary.pdf","YouXian-GuangxiVietnam-11D-Bilingual-Itinerary.pdf","广西·越南 11日 双语路书","Guangxi · Vietnam — 11D bilingual itinerary"
"r3","r3","zh","guidebooks/r3/YouXian-Chongzuo-Weizhou-7D6N-Bilingual-Itinerary.pdf","YouXian-Chongzuo-Weizhou-7D6N-Bilingual-Itinerary.pdf","崇左·涠洲 7天6晚 双语路书","Chongzuo · Weizhou — 7D6N bilingual itinerary"
